963,43,3,96,0,0,0,3,60,0,191,11,0,0,0,0,0,0,0,0,0,17,12,25,56,36,10
1554,74,21,106,0,0,0,19,433,26,218,21,0,0,0,0,0,0,0,0,0,100,174,51,204,44,41
1583,14,9,41,0,0,0,7,255,9,142,40,0,0,0,0,0,0,0,0,0,49,24,6,186,53,10
1399,118,10,384,0,0,0,48,342,23,323,24,0,0,0,0,0,0,0,0,0,25,82,49,322,68,9
1846,219,4,43,0,0,0,16,279,178,305,13,0,0,0,0,0,0,0,0,0,13,559,131,32,36,5
2734,344,15,11,0,0,0,5,33,63,161,17,0,0,0,0,0,0,0,0,0,13,113,33,7,37,6
5,88,32,36,0,0,0,97,87,23,162,100,0,0,0,0,0,0,0,0,0,81,76,9,28,64,45
2314,7,16,55,0,0,0,16,470,9,23,36,0,0,0,0,0,0,0,0,0,94,63,28,127,134,13
2411,82,17,16,0,0,0,23,148,46,117,17,0,0,0,0,0,0,0,0,0,44,133,19,34,41,6
65,277,19,34,0,0,0,104,461,1014,471,55,0,0,0,0,0,0,0,0,0,32,919,4643,77,188,23
1773,74,3,413,0,0,0,4,278,18,742,19,0,0,0,0,0,0,0,0,0,11,155,84,383,32,10
1971,77,3,43,0,0,0,13,157,89,169,3,0,0,0,0,0,0,0,0,0,1,57,6,31,33,0
36,18,36,45,0,0,0,3,265,21,105,70,0,0,0,0,0,0,0,0,0,97,130,32,73,62,47
1506,5,5,9,0,0,0,30,93,74,55,21,0,0,0,0,0,0,0,0,0,22,141,29,21,44,7
1811,124,10,11,0,0,0,523,284,117,339,14,0,0,0,0,0,0,0,0,0,11,502,100,56,50,7
1064,36,13,24,0,0,0,36,140,173,155,7,0,0,0,0,0,0,0,0,0,35,127,13,78,39,13
473,15,6,7,0,0,0,25,262,73,118,27,0,0,0,0,0,0,0,0,0,56,147,14,36,197,17
802,31,0,53,0,0,0,2,132,3,102,6,0,0,0,0,0,0,0,0,0,14,12,6,66,40,4
1670,31,24,20,0,0,0,89,657,228,114,19,0,0,0,0,0,0,0,0,0,172,575,114,266,138,17
937,713,13,23,0,0,0,250,1216,754,806,54,0,0,0,0,0,0,0,0,0,37,1225,169,477,190,33
1905,28,1,17,0,0,0,6,257,453,211,11,0,0,0,0,0,0,0,0,0,1,356,154,101,23,4
2603,152,1,60,0,0,0,6,174,43,184,2,0,0,0,0,0,0,0,0,0,5,112,24,46,7,1
321,401,6,22,0,0,0,89,411,536,329,7,0,0,0,0,0,0,0,0,0,3,747,362,55,48,1
352,193,3,114,0,0,0,20,48,174,521,7,0,0,0,0,0,0,0,0,0,1,136,38,49,30,3
735,301,14,292,0,0,0,12,99,138,1287,9,0,0,0,0,0,0,0,0,0,41,246,131,321,58,13
2259,67,9,297,0,0,0,19,105,57,251,3,0,0,0,0,0,0,0,0,0,8,185,108,6,58,11
